club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,national_team_players,stadium_name
3,1-fc-koln,"1.FC Köln",L1,33,23.8,12,6,RheinEnergieSTADION
4,1-fc-nurnberg,"1.FC Nuremberg",L1,33,25.2,7,2,Max-Morlock-Stadion
5,ac-mailand,"AC Milan",IT1,34,25.8,26,16,"Giuseppe Meazza"
6,adanaspor,Adanaspor,TR1,10,23.9,4,0,"Yeni Adana Stadyumu"
10,arminia-bielefeld,"Arminia Bielefeld",L1,27,25.3,15,4,SchücoArena
11,fc-arsenal,"Arsenal FC",GB1,33,25,25,23,"Emirates Stadium"
12,as-rom,"AS Roma",IT1,28,26.5,20,19,"Olimpico di Roma"
13,atletico-madrid,"Atlético de Madrid",ES1,30,27.4,17,17,"Civitas Metropolitano"
15,bayer-04-leverkusen,"Bayer 04 Leverkusen",L1,28,24.3,19,14,BayArena
16,borussia-dortmund,"Borussia Dortmund",L1,30,24.7,15,18,"SIGNAL IDUNA PARK"
18,borussia-monchengladbach,"Borussia Mönchengladbach",L1,33,24.2,17,8,"Stadion im Borussia-Park"
19,brescia-calcio,"Brescia Calcio",IT1,28,25.1,12,1,"Mario Rigamonti"
20,bursaspor,Bursaspor,TR1,26,21.4,0,0,"Bursa Büyükşehir Belediye Stadyumu"
23,eintracht-braunschweig,"Eintracht Braunschweig",L1,29,26,9,0,EINTRACHT-Stadion
24,eintracht-frankfurt,"Eintracht Frankfurt",L1,40,24.4,24,13,"Deutsche Bank Park"
27,fc-bayern-munchen,"Bayern Munich",L1,30,25.6,18,22,"Allianz Arena"
29,fc-everton,"Everton FC",GB1,26,27.1,14,9,"Goodison Park"
31,fc-liverpool,"Liverpool FC",GB1,24,26.7,18,16,Anfield
33,fc-schalke-04,"FC Schalke 04",L1,27,26.4,12,4,Veltins-Arena
36,fenerbahce-istanbul,Fenerbahce,TR1,37,26,18,14,"Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi"
38,fortuna-dusseldorf,"Fortuna Düsseldorf",L1,29,25.9,12,2,"MERKUR SPIEL-ARENA"
39,1-fsv-mainz-05,"1.FSV Mainz 05",L1,29,25.1,12,6,"Mewa Arena"
40,fc-girondins-bordeaux,"FC Girondins Bordeaux",FR1,26,22.7,13,6,"Matmut Atlantique"
41,hamburger-sv,"Hamburger SV",L1,30,23.6,15,4,Volksparkstadion
42,hannover-96,"Hannover 96",L1,28,25,6,1,Heinz-von-Heiden-Arena
43,heart-of-midlothian-fc,"Heart of Midlothian FC",SC1,24,26.8,13,8,"Tynecastle Park"
44,hertha-bsc,"Hertha BSC",L1,36,24.1,14,7,"Olympiastadion Berlin"
46,inter-mailand,"Inter Milan",IT1,28,26,16,16,"Giuseppe Meazza"
47,iraklis-thessaloniki,"Iraklis Thessaloniki",GR1,27,24.3,9,0,"Kaftanzoglio Stadio"
58,rsc-anderlecht,"RSC Anderlecht",BE1,26,23.6,11,10,"Lotto Park"
60,sc-freiburg,"SC Freiburg",L1,25,25.8,9,9,"Europa-Park Stadion"
65,spvgg-greuther-furth,"SpVgg Greuther Fürth",L1,28,24,11,2,"Sportpark Ronhof | Thomas Sommer"
79,vfb-stuttgart,"VfB Stuttgart",L1,34,23.5,18,10,"Mercedes-Benz Arena"
80,vfl-bochum,"VfL Bochum",L1,30,26.8,14,3,"Vonovia Ruhrstadion"
82,vfl-wolfsburg,"VfL Wolfsburg",L1,30,23.7,19,11,"Volkswagen Arena"
86,sv-werder-bremen,"SV Werder Bremen",L1,27,26.1,11,7,Wohninvest-Weserstadion
89,1-fc-union-berlin,"1.FC Union Berlin",L1,30,25.7,19,12,"Stadion An der Alten Försterei"
105,sv-darmstadt-98,"SV Darmstadt 98",L1,28,25.6,12,1,"Merck-Stadion am Böllenfalltor"
114,besiktas-istanbul,"Besiktas JK",TR1,29,25.1,12,12,"Vodafone Park"
121,dinamo-moskau,"Dynamo Moscow",RU1,26,25.2,10,10,VTB-Arena
124,glasgow-rangers,"Rangers FC",SC1,33,26.3,23,10,"Ibrox Stadium"
126,caykur-rizespor,"Caykur Rizespor",TR1,35,25.3,8,1,"Çaykur Didi"
127,sc-paderborn-07,"SC Paderborn 07",L1,26,25.7,5,1,"Home Deluxe Arena"
130,parma-calcio-1913,"Parma Calcio 1913",IT1,30,24.9,23,6,"Ennio Tardini"
131,fc-barcelona,"FC Barcelona",ES1,27,25.4,14,20,"Spotify Camp Nou"
132,nac-breda,"NAC Breda",NL1,32,23.7,10,2,"Rat Verlegh Stadion"
133,sc-cambuur-leeuwarden,"SC Cambuur Leeuwarden",NL1,16,23.1,4,3,Cambuurstadion
141,galatasaray-istanbul,Galatasaray,TR1,31,25,14,15,"Ali Sami Yen Spor Kompleksi RAMS Stadyumu"
142,real-saragossa,"Real Zaragoza",ES1,27,26,9,3,"La Romareda"
148,tottenham-hotspur,"Tottenham Hotspur",GB1,32,26,22,21,"Tottenham Hotspur Stadium"
150,real-betis-sevilla,"Real Betis Balompié",ES1,25,28.4,13,7,"Benito Villamarín"
152,samsunspor,Samsunspor,TR1,24,27,10,2,"Samsun Yeni 19 Mayıs Stadyumu"
157,kaa-gent,"KAA Gent",BE1,26,25.1,11,3,"Ghelamco Arena"
162,as-monaco,"AS Monaco",FR1,28,23.8,28,10,"Stade Louis-II"
167,fc-augsburg,"FC Augsburg",L1,35,24.1,20,7,"WWK ARENA"
169,panionios-athen,"Panionios Athens",GR1,34,23.5,4,0,"Stadio Neas Smyrnis"
172,rsc-charleroi,"RSC Charleroi",BE1,30,23.5,19,8,"Stade du Pays de Charleroi"
173,odense-boldklub,"Odense Boldklub",DK1,25,23.5,14,5,"Nature Energy Park"
180,fc-southampton,"Southampton FC",GB1,29,24.5,20,13,"St Mary's Stadium"
190,fc-kopenhagen,"FC Copenhagen",DK1,27,24.8,16,8,Parken
192,roda-jc-kerkrade,"Roda JC Kerkrade",NL1,25,24,9,0,"Parkstad Limburg Stadion"
200,fc-utrecht,"FC Utrecht",NL1,31,24.8,16,4,"Stadion "Galgenwaard""""
202,fc-groningen,"FC Groningen",NL1,29,22.9,10,1,Euroborg
206,brondby-if,"Bröndby IF",DK1,30,24.3,13,4,"Brøndby Stadion"
232,spartak-moskau,"Spartak Moscow",RU1,30,24.5,9,12,"Otkrytie Bank Arena"
234,feyenoord-rotterdam,"Feyenoord Rotterdam",NL1,25,23.2,13,12,"Stadion Feyenoord "De Kuip""""
235,rkc-waalwijk,"RKC Waalwijk",NL1,25,25,11,3,"Mandemakers Stadion"
237,rcd-mallorca,"RCD Mallorca",ES1,21,27.4,9,5,"Mallorca Son Moix"
244,olympique-marseille,"Olympique Marseille",FR1,24,25.9,17,15,"Orange Vélodrome"
252,genua-cfc,"Genoa CFC",IT1,31,26.6,18,4,"Luigi Ferraris"
265,panathinaikos-athen,"Panathinaikos Athens",GR1,29,27.9,22,10,"Apostolos Nikolaidis"
273,fc-stade-rennes,"Stade Rennais FC",FR1,29,24.3,10,8,"Roazhon Park"
276,hellas-verona,"Hellas Verona",IT1,30,25.7,18,7,"Marcantonio Bentegodi"
281,manchester-city,"Manchester City",GB1,26,26.9,17,19,"Etihad Stadium"
289,afc-sunderland,"Sunderland AFC",GB1,26,23.5,12,6,"Stadium of Light"
290,aj-auxerre,"AJ Auxerre",FR1,26,24.3,15,6,"Stade de l'Abbé-Deschamps"
294,benfica-lissabon,"SL Benfica",PO1,28,24.7,16,11,"Estádio da Luz"
306,sc-heerenveen,"SC Heerenveen",NL1,19,24.4,10,1,"Abe Lenstra Stadion"
317,fc-twente-enschede,"Twente Enschede FC",NL1,22,24,10,2,"De Grolsch Veste"
331,ca-osasuna,"CA Osasuna",ES1,23,28.1,3,2,"El Sadar"
336,sporting-lissabon,"Sporting CP",PO1,32,24.4,17,9,"Estádio José Alvalade XXI"
338,dynamo-kiew,"Dynamo Kyiv",UKR1,41,24.2,8,9,"Valeriy Lobanovsky Stadion"
