player_id,last_season,market_value_in_eur,current_club_id,player_club_domestic_competition_id
3132,2013,400000,126,TR1
6893,2012,900000,984,GB1
10,2015,7000000,398,IT1
26,2017,1500000,16,L1
65,2015,8000000,1091,GR1
77,2012,13000000,506,IT1
80,2017,400000,27,L1
109,2012,9500000,825,TR1
123,2012,9500000,33,L1
132,2015,13000000,11,GB1
162,2012,1250000,79,L1
215,2015,7500000,1084,ES1
264,2012,250000,79,L1
276,2013,250000,20100,DK1
277,2013,1250000,3368,ES1
299,2012,9000000,10484,TR1
325,2012,8000000,141,TR1
332,2012,250000,24,L1
410,2014,5000000,16,L1
411,2013,2000000,44,L1
447,2012,700000,24,L1
488,2016,1000000,2288,GB1
532,2019,9500000,86,L1
557,2012,3000000,167,L1
568,2015,2000000,18,L1
597,2016,7500000,2696,RU1
598,2014,7500000,24,L1
643,2012,500000,86,L1
670,2012,4000000,714,ES1
690,2012,6000000,39,L1
691,2014,300000,15,L1
735,2013,1250000,1210,IT1
755,2013,1750000,589,TR1
773,2012,3500000,14171,FR1
823,2013,3500000,4,L1
831,2012,350000,1506,TR1
837,2014,2500000,18,L1
886,2012,250000,38,L1
892,2013,500000,39,L1
933,2015,500000,2293,TR1
992,2012,450000,38,L1
1073,2013,1200000,16,L1
1075,2013,3000000,121,RU1
1083,2013,1500000,128,GR1
1094,2013,1800000,4,L1
1095,2013,2000000,44,L1
1116,2012,700000,65,L1
1122,2013,350000,41,L1
1126,2017,500000,3,L1
1139,2014,500000,39,L1
1144,2017,250000,18,L1
1150,2013,1000000,4,L1
1161,2013,11000000,46,IT1
1197,2012,250000,678,DK1
1257,2019,350000,127,L1
1277,2016,750000,86,L1
1321,2013,1500000,33,L1
1323,2012,150000,24,L1
1327,2016,4000000,1159,FR1
1331,2015,8000000,533,L1
1335,2013,1000000,42,L1
1363,2015,100000,33,L1
1368,2015,500000,1519,SC1
1381,2013,1800000,44,L1
1397,2012,30000000,512,GB1
1423,2015,1000000,855,FR1
1426,2013,1500000,79,L1
1428,2013,900000,60,L1
1443,2014,5000000,190,DK1
1474,2013,3500000,533,L1
1496,2012,120000,24,L1
1532,2012,8000000,28643,BE1
1560,2012,225000,306,NL1
1565,2017,850000,24,L1
1568,2012,400000,38,L1
1572,2013,1000000,162,FR1
1573,2012,4500000,29,GB1
1586,2015,800000,42,L1
1587,2012,1000000,42,L1
1606,2012,150000,2414,DK1
1613,2013,200000,855,FR1
1659,2013,500000,23,L1
1662,2018,1000000,33,L1
1667,2019,200000,162,FR1
1684,2012,200000,65,L1
1716,2012,1500000,6996,UKR1
1725,2014,500000,173,DK1
1726,2016,400000,610,NL1
1743,2015,50000,105,L1
1772,2012,500000,38,L1
1784,2018,200000,39,L1
1791,2016,1000000,167,L1
1792,2016,2500000,105,L1
1841,2012,250000,10484,TR1
1896,2015,50000,19771,TR1
1944,2013,250000,23,L1
1986,2016,1500000,167,L1
2048,2012,50000,403,NL1
2050,2014,2000000,24,L1
2138,2017,50000,40426,RU1
2148,2016,200000,2944,TR1
2150,2014,300000,16,L1
2201,2014,50000,127,L1
2219,2016,4500000,27,L1
2233,2013,500000,3368,ES1
2306,2014,50000,42,L1
2309,2012,500000,121,RU1
2334,2014,75000,44,L1
2358,2014,200000,82,L1
2374,2012,700000,16,L1
2386,2013,50000,23,L1
2421,2019,500000,38,L1
2453,2014,150000,127,L1
2514,2016,3250000,985,GB1
2583,2016,300000,2760,SC1
2587,2016,500000,524,TR1
2623,2015,800000,167,L1
2703,2013,1000000,173,DK1
2712,2012,1000000,38,L1
2726,2013,75000,2990,PO1
2767,2014,850000,24,L1
2805,2014,500000,42,L1
2857,2022,100000,29,GB1
2865,2019,1250000,167,L1
2874,2015,2750000,265,GR1
2878,2012,200000,750,FR1
2899,2012,2000000,2292,TR1
2904,2015,13000000,276,IT1
2923,2014,3000000,3368,ES1
2926,2015,500000,105,L1
2950,2014,150000,42,L1
2953,2012,1000000,41,L1
2956,2013,2000000,68608,PO1
2963,2016,5000000,714,ES1
2998,2017,2250000,1003,GB1
2999,2013,750000,2578,SC1
3059,2013,750000,524,TR1
3098,2014,7250000,190,DK1
3109,2014,17000000,31,GB1
3114,2014,550000,42,L1
3115,2013,2500000,40,FR1
3118,2012,16000000,1039,GB1
3120,2015,5750000,281,GB1
3130,2012,5500000,289,GB1
3131,2013,7500000,873,GB1
3132,2013,2000000,126,TR1
3139,2012,40000000,583,FR1
3146,2016,6000000,512,GB1
3151,2012,4000000,148,GB1
3156,2012,7000000,148,GB1
3159,2018,250000,130,IT1
3160,2016,10000000,631,GB1
3163,2014,19500000,281,GB1
3165,2012,3000000,141,TR1
3170,2014,1000000,1304,NL1
3172,2012,3000000,940,ES1
3176,2013,8500000,2282,BE1
3179,2015,4500000,371,SC1
3182,2015,8000000,12,IT1
3190,2017,1000000,180,GB1
3195,2013,3500000,512,GB1
3201,2015,2000000,265,GR1
3205,2012,1000000,148,GB1
3216,2013,16000000,589,TR1
3220,2013,15000000,931,GB1
3226,2013,15000000,984,GB1
