ID,Date,Open,High,Low,Close,Vol.,Change %
1,2012-6-11,3.4,3.45,3.35,3.4,3240000,0.0000
2,2012-6-12,3.4,3.5,3.4,3.45,6090000,0.0147
3,2012-6-13,3.45,3.45,3.35,3.4,7290000,-0.0145
4,2012-6-14,3.4,3.45,3.35,3.4,31810000,0.0000
5,2012-6-15,3.4,3.5,3.4,3.4,7570000,0.0000
6,2012-6-18,3.4,3.45,3.4,3.45,1820000,0.0147
7,2012-6-19,3.45,3.5,3.4,3.45,17700000,0.0000
8,2012-6-20,3.45,3.55,3.45,3.5,6220000,0.0145
9,2012-6-21,3.5,3.55,3.5,3.5,3430000,0.0000
10,2012-6-22,3.5,3.55,3.5,3.5,6430000,0.0000
11,2012-6-25,3.5,3.55,3.5,3.5,4820000,0.0000
12,2012-6-26,3.5,3.55,3.45,3.5,14210000,0.0000
13,2012-6-27,3.5,3.5,3.4,3.45,14950000,-0.0143
14,2012-6-28,3.45,3.45,3.35,3.4,3040000,-0.0145
15,2012-6-29,3.4,3.55,3.4,3.45,4160000,0.0147
16,2012-7-2,3.45,3.65,3.5,3.6,7460000,0.0435
17,2012-7-3,3.6,3.7,3.6,3.65,12160000,0.0139
18,2012-7-4,3.65,3.7,3.5,3.55,945900,-0.0274
19,2012-7-5,3.55,3.6,3.45,3.55,1500000,0.0000
20,2012-7-6,3.55,3.6,3.55,3.56,910300,0.0028
21,2012-7-9,3.55,3.6,3.55,3.55,1250000,-0.0028
22,2012-7-10,3.55,3.6,3.55,3.55,6930000,0.0000
23,2012-7-11,3.55,3.6,3.55,3.55,6160000,0.0000
24,2012-7-12,3.55,3.65,3.55,3.6,6850000,0.0141
25,2012-7-13,3.6,3.65,3.55,3.55,1490000,-0.0139
26,2012-7-16,3.55,3.7,3.55,3.6,9180000,0.0141
27,2012-7-17,3.6,3.75,3.6,3.65,2050000,0.0139
28,2012-7-18,3.65,3.8,3.65,3.75,2800000,0.0274
29,2012-7-19,3.75,3.9,3.75,3.85,16540000,0.0267
30,2012-7-20,3.85,3.95,3.85,3.9,2550000,0.0130
31,2012-7-23,3.9,4,3.85,3.9,1620000,0.0000
32,2012-7-24,3.9,3.95,3.85,3.85,1450000,-0.0128
33,2012-7-25,3.85,4,3.9,3.95,27710000,0.0260
34,2012-7-26,3.95,4,3.9,3.95,21480000,0.0000
35,2012-7-27,3.95,3.95,3.8,3.9,14640000,-0.0127
36,2012-7-30,3.9,3.9,3.7,3.8,11910000,-0.0256
37,2012-7-31,3.8,3.9,3.8,3.8,2060000,0.0000
38,2012-8-1,3.8,3.85,3.8,3.8,1500000,0.0000
39,2012-8-2,3.8,3.95,3.8,3.85,5910000,0.0132
40,2012-8-3,3.85,3.95,3.9,3.95,19480000,0.0260
41,2012-8-6,3.95,3.95,3.8,3.85,1270000,-0.0253
42,2012-8-7,3.85,3.95,3.85,3.85,3610000,0.0000
43,2012-8-8,3.85,3.9,3.8,3.85,2410000,0.0000
44,2012-8-9,3.85,3.95,3.8,3.9,36750000,0.0130
45,2012-8-10,3.9,3.9,3.7,3.8,10920000,-0.0256
46,2012-8-13,3.8,3.9,3.7,3.75,1030000,-0.0132
47,2012-8-14,3.75,3.85,3.7,3.75,426100,0.0000
48,2012-8-15,3.75,3.85,3.7,3.75,1300000,0.0000
49,2012-8-16,3.75,3.85,3.75,3.75,791600,0.0000
50,2012-8-17,3.75,3.9,3.75,3.75,1260000,0.0000
51,2012-8-21,3.75,3.85,3.75,3.75,571500,0.0000
52,2012-8-22,3.75,3.95,3.75,3.85,2930000,0.0267
53,2012-8-23,3.85,3.95,3.9,3.9,2490000,0.0130
54,2012-8-24,3.9,3.95,3.9,3.9,440400,0.0000
55,2012-8-27,3.9,3.95,3.85,3.9,1000000,0.0000
56,2012-8-28,3.9,3.95,3.7,3.85,8100000,-0.0128
57,2012-8-29,3.85,3.9,3.7,3.8,611700,-0.0130
58,2012-8-30,3.8,3.9,3.75,3.85,774300,0.0132
59,2012-8-31,3.85,3.9,3.75,3.8,4500000,-0.0130
60,2012-9-3,3.8,3.95,3.85,3.9,791700,0.0263
61,2012-9-4,3.9,4,3.85,3.95,12050000,0.0128
62,2012-9-5,3.95,4.1,3.95,3.95,3400000,0.0000
63,2012-9-6,3.95,4.05,3.95,3.95,1650000,0.0000
64,2012-9-7,3.95,4.05,4,4,1110000,0.0127
65,2012-9-10,4,4.2,4,4.05,2050000,0.0125
66,2012-9-11,4.05,4.3,4.15,4.25,13650000,0.0494
